OPCS_4.9,Description
W29.1,W29.1: Application of skeletal traction to bone NEC
W29.2,W29.2: Adjustment to skeletal traction of bone
W29.3,W29.3: Removal of skeletal traction from bone
W29.8,W29.8: Other specified skeletal traction of bone
W29.9,W29.9: Unspecified skeletal traction of bone
W30.1,W30.1: Application of external fixation to bone NEC
W30.2,W30.2: Adjustment to external fixation of bone NEC
W30.3,W30.3: Removal of external fixation from bone NEC
W30.4,W30.4: Application of external ring fixation to bone NEC
W30.8,W30.8: Other specified other external fixation of bone
W30.9,W30.9: Unspecified other external fixation of bone
W31.1,W31.1: Inlay autograft to cortex of bone
W31.2,W31.2: Onlay autograft to cortex of bone
W31.3,W31.3: Cancellous strip autograft of bone
W31.4,W31.4: Cancellous chip autograft of bone
W31.5,W31.5: Vascularised pedicle autograft of bone
W31.6,W31.6: Muscle pedicle autograft of bone
W31.7,W31.7: Bone tendon autograft of bone
W31.8,W31.8: Other specified other autograft of bone
W31.9,W31.9: Unspecified other autograft of bone
W32.1,W32.1: Prepared graft of bone
W32.2,W32.2: Allograft of bone NEC
W32.3,W32.3: Xenograft of bone
W32.4,W32.4: Synthetic graft of bone
W32.5,W32.5: Cancellous chip allograft of bone
W32.6,W32.6: Bulk allograft of bone
W32.8,W32.8: Other specified other graft of bone
W32.9,W32.9: Unspecified other graft of bone
W33.1,W33.1: Open biopsy of lesion of bone
W33.2,W33.2: Debridement of open fracture of bone
W33.3,W33.3: Suture of periosteum
W33.4,W33.4: Implantation of electromagnetic stimulator into bone
W33.5,W33.5: Attention to electromagnetic stimulator in bone
W33.6,W33.6: Debridement of bone NEC
W33.7,W33.7: Lavage of bone
W33.8,W33.8: Other specified other open operations on bone
W33.9,W33.9: Unspecified other open operations on bone
W34.1,W34.1: Autograft of bone marrow
W34.2,W34.2: Allograft of bone marrow NEC
W34.3,W34.3: Allograft of bone marrow from sibling donor
W34.4,W34.4: Allograft of bone marrow from matched unrelated donor
W34.5,W34.5: Allograft of bone marrow from haploidentical donor
W34.6,W34.6: Allograft of bone marrow from unmatched unrelated donor
W34.8,W34.8: Other specified graft of bone marrow
W34.9,W34.9: Unspecified graft of bone marrow
W35.1,W35.1: Introduction of therapeutic substance into bone
W35.2,W35.2: Introduction of destructive substance into bone
W35.3,W35.3: Removal of implanted substance from bone
W35.4,W35.4: Therapeutic drilling of bone NEC
W35.5,W35.5: Therapeutic percutaneous puncture of bone
W35.6,W35.6: Percutaneous radiofrequency ablation of lesion of bone
W35.8,W35.8: Other specified therapeutic puncture of bone
W35.9,W35.9: Unspecified therapeutic puncture of bone
W36.1,W36.1: Percutaneous needle biopsy of lesion of bone
W36.2,W36.2: Needle biopsy of lesion of bone NEC
W36.3,W36.3: Diagnostic drilling of bone
W36.4,W36.4: Diagnostic puncture of sternum
W36.5,W36.5: Diagnostic extraction of bone marrow NEC
W36.8,W36.8: Other specified diagnostic puncture of bone
W36.9,W36.9: Unspecified diagnostic puncture of bone
W37.1,W37.1: Primary total prosthetic replacement of hip joint using cement
W37.2,W37.2: Conversion to total prosthetic replacement of hip joint using cement
W37.3,W37.3: Revision of total prosthetic replacement of hip joint using cement
W37.4,W37.4: Revision of one component of total prosthetic replacement of hip joint using cement
W37.8,W37.8: Other specified total prosthetic replacement of hip joint using cement
W37.9,W37.9: Unspecified total prosthetic replacement of hip joint using cement
W37.0,W37.0: Conversion from previous cemented total prosthetic replacement of hip joint
W38.1,W38.1: Primary total prosthetic replacement of hip joint not using cement
W38.2,W38.2: Conversion to total prosthetic replacement of hip joint not using cement
W38.3,W38.3: Revision of total prosthetic replacement of hip joint not using cement
W38.4,W38.4: Revision of one component of total prosthetic replacement of hip joint not using cement
W38.8,W38.8: Other specified total prosthetic replacement of hip joint not using cement
W38.9,W38.9: Unspecified total prosthetic replacement of hip joint not using cement
W38.0,W38.0: Conversion from previous uncemented total prosthetic replacement of hip joint
W39.1,W39.1: Primary total prosthetic replacement of hip joint NEC
W39.2,W39.2: Conversion to total prosthetic replacement of hip joint NEC
W39.3,W39.3: Revision of total prosthetic replacement of hip joint NEC
W39.4,W39.4: Attention to total prosthetic replacement of hip joint NEC
W39.5,W39.5: Revision of one component of total prosthetic replacement of hip joint NEC
W39.6,W39.6: Closed reduction of dislocated total prosthetic replacement of hip joint
W39.8,W39.8: Other specified other total prosthetic replacement of hip joint
W39.9,W39.9: Unspecified other total prosthetic replacement of hip joint
W39.0,W39.0: Conversion from previous total prosthetic replacement of hip joint NEC
W40.1,W40.1: Primary total prosthetic replacement of knee joint using cement
W40.2,W40.2: Conversion to total prosthetic replacement of knee joint using cement
W40.3,W40.3: Revision of total prosthetic replacement of knee joint using cement
W40.4,W40.4: Revision of one component of total prosthetic replacement of knee joint using cement
W40.8,W40.8: Other specified total prosthetic replacement of knee joint using cement
W40.9,W40.9: Unspecified total prosthetic replacement of knee joint using cement
W40.0,W40.0: Conversion from previous cemented total prosthetic replacement of knee joint
W41.1,W41.1: Primary total prosthetic replacement of knee joint not using cement
W41.2,W41.2: Conversion to total prosthetic replacement of knee joint not using cement
W41.3,W41.3: Revision of total prosthetic replacement of knee joint not using cement
W41.4,W41.4: Revision of one component of total prosthetic replacement of knee joint not using cement
W41.8,W41.8: Other specified total prosthetic replacement of knee joint not using cement
W41.9,W41.9: Unspecified total prosthetic replacement of knee joint not using cement
W41.0,W41.0: Conversion from previous uncemented total prosthetic replacement of knee joint
W42.1,W42.1: Primary total prosthetic replacement of knee joint NEC
W42.2,W42.2: Conversion to total prosthetic replacement of knee joint NEC
W42.3,W42.3: Revision of total prosthetic replacement of knee joint NEC
W42.4,W42.4: Attention to total prosthetic replacement of knee joint NEC
W42.5,W42.5: Revision of one component of total prosthetic replacement of knee joint NEC
W42.6,W42.6: Arthrolysis of total prosthetic replacement of knee joint
W42.8,W42.8: Other specified other total prosthetic replacement of knee joint
W42.9,W42.9: Unspecified other total prosthetic replacement of knee joint
W42.0,W42.0: Conversion from previous total prosthetic replacement of knee joint NEC
W43.1,W43.1: Primary total prosthetic replacement of joint using cement NEC
W43.2,W43.2: Conversion to total prosthetic replacement of joint using cement NEC
W43.3,W43.3: Revision of total prosthetic replacement of joint using cement NEC
W43.4,W43.4: Revision of one component of total prosthetic replacement of joint using cement NEC
W43.8,W43.8: Other specified total prosthetic replacement of other joint using cement
W43.9,W43.9: Unspecified total prosthetic replacement of other joint using cement
W43.0,W43.0: Conversion from previous cemented total prosthetic replacement of joint NEC
W44.1,W44.1: Primary total prosthetic replacement of joint not using cement NEC
W44.2,W44.2: Conversion to total prosthetic replacement of joint not using cement NEC
W44.3,W44.3: Revision of total prosthetic replacement of joint not using cement NEC
W44.4,W44.4: Revision of one component of total prosthetic replacement of joint not using cement NEC
W44.8,W44.8: Other specified total prosthetic replacement of other joint not using cement
W44.9,W44.9: Unspecified total prosthetic replacement of other joint not using cement
W44.0,W44.0: Conversion from previous uncemented total prosthetic replacement of joint NEC
W45.1,W45.1: Primary total prosthetic replacement of joint NEC
W45.2,W45.2: Conversion to total prosthetic replacement of joint NEC
W45.3,W45.3: Revision of total prosthetic replacement of joint NEC
W45.4,W45.4: Attention to total prosthetic replacement of joint NEC
W45.5,W45.5: Revision of one component of total prosthetic replacement of joint NEC
W45.8,W45.8: Other specified other total prosthetic replacement of other joint
W45.9,W45.9: Unspecified other total prosthetic replacement of other joint
W45.0,W45.0: Conversion from previous total prosthetic replacement of joint NEC
W46.1,W46.1: Primary prosthetic replacement of head of femur using cement
W46.2,W46.2: Conversion to prosthetic replacement of head of femur using cement
W46.3,W46.3: Revision of prosthetic replacement of head of femur using cement
W46.8,W46.8: Other specified prosthetic replacement of head of femur using cement
W46.9,W46.9: Unspecified prosthetic replacement of head of femur using cement
W46.0,W46.0: Conversion from previous cemented prosthetic replacement of head of femur
W47.1,W47.1: Primary prosthetic replacement of head of femur not using cement
W47.2,W47.2: Conversion to prosthetic replacement of head of femur not using cement
W47.3,W47.3: Revision of prosthetic replacement of head of femur not using cement
W47.8,W47.8: Other specified prosthetic replacement of head of femur not using cement
W47.9,W47.9: Unspecified prosthetic replacement of head of femur not using cement
W47.0,W47.0: Conversion from previous uncemented prosthetic replacement of head of femur
W48.1,W48.1: Primary prosthetic replacement of head of femur NEC
W48.2,W48.2: Conversion to prosthetic replacement of head of femur NEC
W48.3,W48.3: Revision of prosthetic replacement of head of femur NEC
W48.4,W48.4: Attention to prosthetic replacement of head of femur NEC
W48.5,W48.5: Closed reduction of dislocated prosthetic replacement of head of femur
W48.8,W48.8: Other specified other prosthetic replacement of head of femur
W48.9,W48.9: Unspecified other prosthetic replacement of head of femur
W48.0,W48.0: Conversion from previous prosthetic replacement of head of femur NEC
W49.1,W49.1: Primary prosthetic replacement of head of humerus using cement
W49.2,W49.2: Conversion to prosthetic replacement of head of humerus using cement
W49.3,W49.3: Revision of prosthetic replacement of head of humerus using cement
W49.4,W49.4: Resurfacing hemiarthroplasty of head of humerus using cement
W49.8,W49.8: Other specified prosthetic replacement of head of humerus using cement
W49.9,W49.9: Unspecified prosthetic replacement of head of humerus using cement
W49.0,W49.0: Conversion from previous cemented prosthetic replacement of head of humerus
W50.1,W50.1: Primary prosthetic replacement of head of humerus not using cement
W50.2,W50.2: Conversion to prosthetic replacement of head of humerus not using cement
W50.3,W50.3: Revision of prosthetic replacement of head of humerus not using cement
W50.4,W50.4: Resurfacing hemiarthroplasty of head of humerus not using cement
W50.8,W50.8: Other specified prosthetic replacement of head of humerus not using cement
W50.9,W50.9: Unspecified prosthetic replacement of head of humerus not using cement
W50.0,W50.0: Conversion from previous uncemented prosthetic replacement of head of humerus
W51.1,W51.1: Primary prosthetic replacement of head of humerus NEC
W51.2,W51.2: Conversion to prosthetic replacement of head of humerus NEC
W51.3,W51.3: Revision of prosthetic replacement of head of humerus NEC
W51.4,W51.4: Attention to prosthetic replacement of head of humerus NEC
W51.5,W51.5: Resurfacing hemiarthroplasty of head of humerus NEC
W51.8,W51.8: Other specified other prosthetic replacement of head of humerus
W51.9,W51.9: Unspecified other prosthetic replacement of head of humerus
W51.0,W51.0: Conversion from previous prosthetic replacement of head of humerus NEC
W52.1,W52.1: Primary prosthetic replacement of articulation of bone using cement NEC
W52.2,W52.2: Conversion to prosthetic replacement of articulation of bone using cement NEC
W52.3,W52.3: Revision of prosthetic replacement of articulation of bone using cement NEC
W52.8,W52.8: Other specified prosthetic replacement of articulation of other bone using cement
W52.9,W52.9: Unspecified prosthetic replacement of articulation of other bone using cement
W52.0,W52.0: Conversion from previous cemented prosthetic replacement of articulation of bone NEC
W53.1,W53.1: Primary prosthetic replacement of articulation of bone not using cement NEC
W53.2,W53.2: Conversion to prosthetic replacement of articulation of bone not using cement NEC
W53.3,W53.3: Revision of prosthetic replacement of articulation of bone not using cement NEC
W53.8,W53.8: Other specified prosthetic replacement of articulation of other bone not using cement
W53.9,W53.9: Unspecified prosthetic replacement of articulation of other bone not using cement
